Date,MA,PYPL,V
2021-01-04,341.1647033691406,231.38510131835938,209.57298278808594
2021-01-05,337.2142639160156,234.3682098388672,206.44512939453125
2021-01-06,337.3403625488281,226.3068389892578,204.62619018554688
2021-01-07,340.01300048828125,234.49789428710938,205.77145385742188
2021-01-08,343.8907165527344,241.9008026123047,207.3498077392578
2021-01-11,338.39971923828125,236.9522247314453,204.88601684570312
2021-01-12,333.2684020996094,237.09190368652344,201.00755310058594
2021-01-13,336.582275390625,244.3351593017578,201.47914123535156
2021-01-14,317.72833251953125,241.501708984375,194.2707061767578
2021-01-15,314.1616516113281,239.2369384765625,194.01087951660156
2021-01-19,316.7662353515625,246.67974853515625,194.07823181152344
2021-01-20,325.4837646484375,243.69664001464844,198.2646942138672
2021-01-21,325.02703857421875,248.0665283203125,197.4274139404297
2021-01-22,319.7304382324219,251.41879272460938,194.4247589111328
2021-01-25,319.9247131347656,247.1785888671875,193.42379760742188
2021-01-26,318.4767150878906,240.44415283203125,194.41506958007812
2021-01-27,306.6103210449219,229.40966796875,187.63978576660156
2021-01-28,315.1529846191406,237.24154663085938,190.76759338378906
2021-01-29,307.3878173828125,233.7695770263672,185.9844207763672
2021-02-01,312.509521484375,241.29220581054688,190.9022979736328
2021-02-02,324.958984375,248.52548217773438,194.9925079345703
2021-02-03,323.45269775390625,251.3190155029297,193.7895050048828
2021-02-04,331.23712158203125,269.8062744140625,201.38290405273438
2021-02-05,329.2156677246094,268.8185729980469,200.92095947265625
2021-02-08,327.54412841796875,281.51922607421875,199.11160278320312
2021-02-09,324.0551452636719,283.5445251464844,198.7554931640625
2021-02-10,324.8034362792969,282.52685546875,198.67855834960938
2021-02-11,333.21966552734375,284.37261962890625,203.05465698242188
2021-02-12,331.4023132324219,297.68182373046875,202.3799285888672
2021-02-16,331.6064453125,304.0870361328125,200.394287109375
2021-02-17,327.8356018066406,296.5145568847656,200.01837158203125
2021-02-18,328.933837890625,290.1392822265625,201.79193115234375
2021-02-19,323.7927551269531,286.2582702636719,197.3386993408203
2021-02-22,331.0719299316406,273.2183837890625,200.799072265625
2021-02-23,340.5572204589844,264.3887939453125,204.4523162841797
2021-02-24,356.9815368652344,265.4563293457031,211.5079803466797
2021-02-25,344.5904235839844,253.35430908203125,206.0330810546875
2021-02-26,343.8907165527344,259.2507019042969,204.72216796875
2021-03-01,352.6859436035156,272.9989013671875,208.80908203125
2021-03-02,352.60821533203125,268.56915283203125,207.9801483154297
2021-03-03,350.1105651855469,254.4717254638672,207.0933837890625
2021-03-04,339.6630859375,238.51861572265625,203.8643035888672
2021-03-05,350.722900390625,238.4986572265625,207.63316345214844
2021-03-08,360.8786315917969,225.56854248046875,212.31768798828125
2021-03-09,365.9225769042969,241.202392578125,212.40443420410156
2021-03-10,370.9568786621094,241.51170349121094,215.1129913330078
2021-03-11,373.5614318847656,253.24456787109375,217.9853973388672
2021-03-12,371.9384460449219,249.77259826660156,216.260009765625
2021-03-15,371.0151672363281,249.4034423828125,215.20938110351562
2021-03-16,371.6177062988281,248.7349853515625,216.58773803710938
2021-03-17,368.0217590332031,250.8900146484375,214.96841430664062
2021-03-18,356.6705627441406,237.86013793945312,212.69361877441406
2021-03-19,346.475830078125,240.7235107421875,199.4303436279297
2021-03-22,348.3126220703125,243.82135009765625,200.49063110351562
2021-03-23,345.27081298828125,243.20777893066406,200.63526916503906
2021-03-24,349.5274658203125,233.7296905517578,200.55813598632812
2021-03-25,348.27374267578125,233.6997528076172,200.46176147460938
2021-03-26,355.8348083496094,240.47409057617188,205.82101440429688
2021-03-29,352.6957092285156,235.12644958496094,206.765625
2021-03-30,348.1182556152344,235.9944305419922,204.24984741210938
2021-03-31,346.0287170410156,242.2799072265625,204.08595275878906
2021-04-01,353.07470703125,246.9690704345703,209.03082275390625
2021-04-05,357.9534912109375,250.44105529785156,211.132080078125
2021-04-06,359.1682434082031,252.60604858398438,210.7561492919922
2021-04-07,360.6357116699219,255.01048278808594,211.3538360595703
2021-04-08,367.5440673828125,263.88995361328125,212.73216247558594
2021-04-09,369.8208923339844,266.15472412109375,214.48646545410156
2021-04-12,369.58740234375,268.4095153808594,213.4743194580078
2021-04-13,367.92364501953125,274.79473876953125,213.04061889648438
2021-04-14,368.1085205078125,266.59368896484375,213.9659423828125
2021-04-15,376.0579528808594,273.3680419921875,218.11068725585938
2021-04-16,375.74664306640625,269.24755859375,218.23605346679688
2021-04-19,371.84478759765625,267.2920837402344,217.6383514404297
2021-04-20,366.4640197753906,263.8200988769531,215.21897888183594
2021-04-21,372.7593994140625,264.2790832519531,219.2384490966797
2021-04-22,373.0123291015625,261.66510009765625,219.3541717529297
2021-04-23,376.61248779296875,265.4164123535156,221.69639587402344
2021-04-26,377.011474609375,271.0932922363281,222.02415466308594
2021-04-27,378.5683288574219,268.20001220703125,221.6096649169922
2021-04-28,384.9707336425781,270.4647521972656,225.0218505859375
2021-04-29,378.4515380859375,267.23223876953125,228.30873107910156
2021-04-30,371.7475280761719,261.68505859375,225.1278839111328
2021-05-03,369.1593017578125,258.492431640625,224.2122039794922
2021-05-04,365.763427734375,249.58303833007812,223.65310668945312
2021-05-05,359.1762390136719,246.8293914794922,220.93492126464844
2021-05-06,365.34515380859375,251.43875122070312,222.9687957763672
2021-05-07,365.2673034667969,252.77565002441406,223.73988342285156
2021-05-10,356.4518127441406,243.06809997558594,217.8118896484375
2021-05-11,357.6875,248.02664184570312,217.33958435058594
2021-05-12,346.99420166015625,239.35667419433594,212.66468811035156
