Date,MA,PYPL,V
2021-01-04,341.1647033691406,231.38510131835938,209.57290649414062
2021-01-05,337.2142028808594,234.3682098388672,206.44509887695312
2021-01-06,337.3404846191406,226.3068389892578,204.6261749267578
2021-01-07,340.0128479003906,234.49789428710938,205.77142333984375
2021-01-08,343.8907165527344,241.9008026123047,207.3498077392578
2021-01-11,338.399658203125,236.9522247314453,204.88604736328125
2021-01-12,333.2683410644531,237.09190368652344,201.00755310058594
2021-01-13,336.5823059082031,244.3351593017578,201.4791259765625
2021-01-14,317.7283630371094,241.501708984375,194.27072143554688
2021-01-15,314.1617126464844,239.2369384765625,194.01087951660156
2021-01-19,316.7662658691406,246.67974853515625,194.07827758789062
2021-01-20,325.4837951660156,243.69664001464844,198.2646942138672
2021-01-21,325.0270080566406,248.0665283203125,197.4274139404297
2021-01-22,319.73040771484375,251.41879272460938,194.42469787597656
2021-01-25,319.9248046875,247.1785888671875,193.42384338378906
2021-01-26,318.476806640625,240.44415283203125,194.41505432128906
2021-01-27,306.6104431152344,229.40966796875,187.6397705078125
2021-01-28,315.1529541015625,237.24154663085938,190.767578125
2021-01-29,307.38787841796875,233.7695770263672,185.9844512939453
2021-02-01,312.509521484375,241.29220581054688,190.90232849121094
2021-02-02,324.9590148925781,248.52548217773438,194.9925537109375
2021-02-03,323.45263671875,251.3190155029297,193.78955078125
2021-02-04,331.2371826171875,269.8062744140625,201.3828887939453
2021-02-05,329.2156982421875,268.8185729980469,200.9209442138672
2021-02-08,327.5441589355469,281.51922607421875,199.11163330078125
2021-02-09,324.05523681640625,283.5445251464844,198.75550842285156
2021-02-10,324.8034973144531,282.52685546875,198.6785430908203
2021-02-11,333.21978759765625,284.37261962890625,203.0546112060547
2021-02-12,331.40228271484375,297.68182373046875,202.37989807128906
2021-02-16,331.6064758300781,304.0870361328125,200.39427185058594
2021-02-17,327.8355712890625,296.5145568847656,200.01834106445312
2021-02-18,328.9338684082031,290.1392822265625,201.7919464111328
2021-02-19,323.7927551269531,286.2582702636719,197.33872985839844
2021-02-22,331.07196044921875,273.2183837890625,200.7991180419922
2021-02-23,340.5572509765625,264.3887939453125,204.45228576660156
2021-02-24,356.9815979003906,265.4563293457031,211.5080108642578
2021-02-25,344.59051513671875,253.35430908203125,206.03309631347656
2021-02-26,343.8907165527344,259.2507019042969,204.72218322753906
2021-03-01,352.6859130859375,272.9989013671875,208.80909729003906
2021-03-02,352.6082458496094,268.56915283203125,207.9801483154297
2021-03-03,350.110595703125,254.4717254638672,207.09336853027344
2021-03-04,339.6631164550781,238.51861572265625,203.86428833007812
2021-03-05,350.722900390625,238.4986572265625,207.63314819335938
2021-03-08,360.8786926269531,225.56854248046875,212.31765747070312
2021-03-09,365.9226379394531,241.202392578125,212.40444946289062
2021-03-10,370.9568786621094,241.51170349121094,215.1129913330078
2021-03-11,373.5614013671875,253.24456787109375,217.98541259765625
2021-03-12,371.93841552734375,249.77259826660156,216.260009765625
2021-03-15,371.01519775390625,249.4034423828125,215.20936584472656
2021-03-16,371.6177062988281,248.7349853515625,216.58775329589844
2021-03-17,368.0218200683594,250.8900146484375,214.96839904785156
2021-03-18,356.670654296875,237.86013793945312,212.693603515625
2021-03-19,346.475830078125,240.7235107421875,199.43038940429688
2021-03-22,348.3126525878906,243.82135009765625,200.49066162109375
2021-03-23,345.27069091796875,243.20777893066406,200.6352081298828
2021-03-24,349.52740478515625,233.7296905517578,200.55810546875
2021-03-25,348.273681640625,233.6997528076172,200.46176147460938
2021-03-26,355.8348388671875,240.47409057617188,205.82102966308594
2021-03-29,352.6956787109375,235.12644958496094,206.765625
2021-03-30,348.1182556152344,235.9944305419922,204.24984741210938
2021-03-31,346.0287780761719,242.2799072265625,204.08599853515625
2021-04-01,353.0747375488281,246.9690704345703,209.03079223632812
2021-04-05,357.9534606933594,250.44105529785156,211.132080078125
2021-04-06,359.168212890625,252.60604858398438,210.75613403320312
2021-04-07,360.6357116699219,255.01048278808594,211.35382080078125
2021-04-08,367.5440979003906,263.88995361328125,212.73216247558594
2021-04-09,369.8210144042969,266.15472412109375,214.4864501953125
2021-04-12,369.58746337890625,268.4095153808594,213.47438049316406
2021-04-13,367.9236145019531,274.79473876953125,213.04063415527344
2021-04-14,368.1085205078125,266.59368896484375,213.96595764160156
2021-04-15,376.05792236328125,273.3680419921875,218.11070251464844
2021-04-16,375.74658203125,269.24755859375,218.23605346679688
2021-04-19,371.84478759765625,267.2920837402344,217.63839721679688
2021-04-20,366.46405029296875,263.8200988769531,215.2190704345703
2021-04-21,372.7593994140625,264.2790832519531,219.23846435546875
2021-04-22,373.01239013671875,261.66510009765625,219.35411071777344
2021-04-23,376.6125183105469,265.4164123535156,221.6964111328125
2021-04-26,377.0114440917969,271.0932922363281,222.02413940429688
2021-04-27,378.5682373046875,268.20001220703125,221.6096649169922
2021-04-28,384.970703125,270.4647521972656,225.02186584472656
2021-04-29,378.45147705078125,267.23223876953125,228.30873107910156
2021-04-30,371.74749755859375,261.68505859375,225.12786865234375
2021-05-03,369.1593322753906,258.492431640625,224.2122039794922
2021-05-04,365.76348876953125,249.58303833007812,223.65309143066406
2021-05-05,359.1762390136719,246.8293914794922,220.93492126464844
2021-05-06,365.3450927734375,251.43875122070312,222.96876525878906
2021-05-07,365.2672119140625,252.77565002441406,223.73989868164062
2021-05-10,356.4518127441406,243.06809997558594,217.81187438964844
2021-05-11,357.6875305175781,248.02664184570312,217.339599609375
2021-05-12,346.99407958984375,239.35667419433594,212.66470336914062
